"concept","code","name","level","parent"
"coicop18","CP05329","Other small household appliances (SD)",5,"CP0532"
"coicop18","CP0533","Repair, installation and hire of household appliances (S)",4,"CP053"
"coicop18","CP05330","Repair, installation and hire of household appliances (S)",5,"CP0533"
"coicop18","CP054","Glassware, tableware and household utensils",3,"CP05"
"coicop18","CP0540","Glassware, tableware and household utensils (SD)",4,"CP054"
"coicop18","CP05401","Glassware, crystal ware, ceramic ware and china ware (SD)",5,"CP0540"
"coicop18","CP05402","Cutlery, flatware and silverware (SD)",5,"CP0540"
"coicop18","CP05403","Kitchen utensils and articles (SD)",5,"CP0540"
"coicop18","CP05404","Repair and hire of glassware, tableware and household utensils (S)",5,"CP0540"
"coicop18","CP055","Tools and equipment for house and garden",3,"CP05"
"coicop18","CP0551","Motorized tools and equipment (D)",4,"CP055"
"coicop18","CP05510","Motorized tools and equipment (D)",5,"CP0551"
"coicop18","CP0552","Non-motorized tools and miscellaneous accessories (SD)",4,"CP055"
"coicop18","CP05521","Non-motorized tools (SD)",5,"CP0552"
"coicop18","CP05522","Miscellaneous accessories (SD)",5,"CP0552"
"coicop18","CP0553","Repair and hire of motorized and non-motorized tools and equipment (S)",4,"CP055"
"coicop18","CP05530","Repair and hire of motorized and non-motorized tools and equipment (S)",5,"CP0553"
"coicop18","CP056","Goods and services for routine household maintenance",3,"CP05"
"coicop18","CP0561","Non-durable household goods (ND)",4,"CP056"
"coicop18","CP05611","Household cleaning and maintenance products (ND)",5,"CP0561"
"coicop18","CP05619","Other non-durable household goods (ND)",5,"CP0561"
"coicop18","CP0562","Domestic services and household services (S)",4,"CP056"
"coicop18","CP05621","Domestic services provided by paid staff (S)",5,"CP0562"
"coicop18","CP05629","Other household services (S)",5,"CP0562"
"coicop18","CP06","Health",2,"TOTAL"
"coicop18","CP061","Medicines and health products",3,"CP06"
"coicop18","CP0611","Medicines (ND)",4,"CP061"
"coicop18","CP06111","Medicines, vaccines and other pharmaceutical preparations (ND)",5,"CP0611"
"coicop18","CP06112","Herbal medicines and homeopathic products (ND)",5,"CP0611"
"coicop18","CP0612","Medical products (ND)",4,"CP061"
"coicop18","CP06121","Medical diagnostic products (ND)",5,"CP0612"
"coicop18","CP06122","Preventive and protective devices (ND)",5,"CP0612"
